Dossier	Mopad2Struct	Kvaser2Struct	SynchroMopad	SynchroKvaser	StructMopad2BIND	Time Mopad2BIND	StructKvaser2BIND	Time Kvaser2BIND
Dossier	Mopad2Struct	Kvaser2Struct	SynchroMopad	SynchroKvaser	StructMopad2BIND	Time Mopad2BIND	StructKvaser2BIND	Time Kvaser2BIND
D:\LESCOT\PROJETS\SAFE MOVE\Test\test_MEFsteering_130708_11h25	ok	ok	failed	failed	failed	0.017945	failed	0.018278
Dossier	Mopad2Struct	Kvaser2Struct	SynchroMopad	SynchroKvaser	StructMopad2BIND	Time Mopad2BIND	StructKvaser2BIND	Time Kvaser2BIND
D:\LESCOT\PROJETS\SAFE MOVE\Test\test_MEFsteering_130708_11h25	ok	ok	ok	failed	ok	76.569133	failed	0.043165
Dossier	Mopad2Struct	Kvaser2Struct	SynchroMopad	SynchroKvaser	StructMopad2BIND	Time Mopad2BIND	StructKvaser2BIND	Time Kvaser2BIND
D:\LESCOT\PROJETS\SAFE MOVE\Test\test_MEFsteering_130708_11h25	ok	ok	ok	failed	ok	0.033469	failed	0.132056
Dossier	Mopad2Struct	Kvaser2Struct	SynchroMopad	SynchroKvaser	StructMopad2BIND	Time Mopad2BIND	StructKvaser2BIND	Time Kvaser2BIND
Dossier	Mopad2Struct	Kvaser2Struct	SynchroMopad	SynchroKvaser	StructMopad2BIND	Time Mopad2BIND	StructKvaser2BIND	Time Kvaser2BIND
