1792.5564;virages_vir1;endTimecode;1804.5564;avgSpeed;65.9049;avgPercentBrake;2.6627;minSWA;-53.23;maxSWA;0.95;minAccY;-0.45;maxAccY;0.11;Sens virage;gauche;Pente virage;descente;Profil virage;obtu;Régularité virage;régulier;Marquage au sol; continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;VP;Obstacles;non;Visibilité;bonne
1961.456;virages_vir2;endTimecode;1969.156;avgSpeed;55.0423;avgPercentBrake;9.6432;minSWA;-49.64;maxSWA;4.37;minAccY;-0.3;maxAccY;0.05;Sens virage;gauche;Pente virage;descente;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
2279.2154;virages_vir3;endTimecode;2297.1354;avgSpeed;62.5861;avgPercentBrake;-0.36213;minSWA;-36.58;maxSWA;-0.67;minAccY;-0.31;maxAccY;0;Sens virage;gauche;Pente virage;descente;Profil virage;droit;Régularité virage;irrégulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
2418.9351;virages_vir4;endTimecode;2425.8151;avgSpeed;56.0654;avgPercentBrake;5.4053;minSWA;-59.58;maxSWA;-7.47;minAccY;-0.36;maxAccY;-0.05;Sens virage;gauche;Pente virage;descente;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;VP;Obstacles;non;Visibilité;moyenne
2492.535;virages_vir5;endTimecode;2504.695;avgSpeed;59.0998;avgPercentBrake;8.0071;minSWA;-15.08;maxSWA;73.33;minAccY;-0.15;maxAccY;0.42;Sens virage;droite;Pente virage;descente;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;VP;Obstacles;non;Visibilité;moyenne
2921.7541;virages_vir6;endTimecode;2930.9541;avgSpeed;60.2131;avgPercentBrake;-0.33138;minSWA;-51.91;maxSWA;6.77;minAccY;-0.32;maxAccY;0.04;Sens virage;gauche;Pente virage;montée;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
3292.2334;virages_vir7;endTimecode;3309.5334;avgSpeed;55.0396;avgPercentBrake;1.2035;minSWA;-37.39;maxSWA;65.3;minAccY;-0.25;maxAccY;0.31;Sens virage;droite;Pente virage;montée;Profil virage;droit;Régularité virage;irrégulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;moyenne
3326.3333;virages_vir8;endTimecode;3338.3533;avgSpeed;64.3776;avgPercentBrake;-0.32659;minSWA;-4.88;maxSWA;44.77;minAccY;-0.08;maxAccY;0.26;Sens virage;droite;Pente virage;descente;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;VP;Obstacles;non;Visibilité;moyenne
3409.4732;virages_vir9;endTimecode;3423.1331;avgSpeed;77.3376;avgPercentBrake;-0.45353;minSWA;-3.38;maxSWA;33.55;minAccY;-0.12;maxAccY;0.33;Sens virage;droite;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
3667.0926;virages_s1-1;endTimecode;3673.0926;avgSpeed;68.2573;avgPercentBrake;-0.33328;minSWA;-33.95;maxSWA;24.73;minAccY;-0.3;maxAccY;0.15;Sens virage;gauche;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
3673.0926;virages_s1-2;endTimecode;3680.9926;avgSpeed;66.1346;avgPercentBrake;-0.34821;minSWA;-2.2;maxSWA;29.75;minAccY;-0.05;maxAccY;0.22;Sens virage;droite;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;mauvaise
3718.8725;virages_vir10;endTimecode;3727.5525;avgSpeed;83.3498;avgPercentBrake;-0.35051;minSWA;-33.26;maxSWA;16.22;minAccY;-0.38;maxAccY;0.16;Sens virage;droite;Pente virage;cuvette;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;VP;Obstacles;non;Visibilité;bonne
3753.6325;virages_vir11;endTimecode;3766.8724;avgSpeed;62.3475;avgPercentBrake;9.4099;minSWA;-84.28;maxSWA;1.62;minAccY;-0.52;maxAccY;0.01;Sens virage;gauche;Pente virage;cuvette;Profil virage;aigu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;mordu;Interieur/Exterieur;int;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
