3637.56;virages_vir12;endTimecode;3651.14;avgSpeed;29.79;avgPercentBrake;0.14538;minSWA;-10.67;maxSWA;76.95;minAccY;-0.09;maxAccY;0.5;Sens virage;droite;Pente virage;montée;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;VP;Obstacles;non;Visibilité;moyenne
3727.34;virages_vir13;endTimecode;3735.9;avgSpeed;29.79;avgPercentBrake;8.23;minSWA;-59.31;maxSWA;-6.75;minAccY;-0.47;maxAccY;0.04;Sens virage;gauche;Pente virage;descente;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;discontinue;Mordu/Coupé;mordu;Interieur/Exterieur;int;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
3782.3;virages_s2-1;endTimecode;3788.62;avgSpeed;29.79;avgPercentBrake;13.9582;minSWA;-51.57;maxSWA;22.52;minAccY;-0.34;maxAccY;0.17;Sens virage;gauche;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;coupé;Interieur/Exterieur;int;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
3788.62;virages_s2-2;endTimecode;3797.86;avgSpeed;29.79;avgPercentBrake;-0.27894;minSWA;-10.12;maxSWA;30.53;minAccY;-0.09;maxAccY;0.27;Sens virage;droite;Pente virage;montée;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
4012.28;virages_s3-1;endTimecode;4018.08;avgSpeed;29.79;avgPercentBrake;4.0523;minSWA;-39.42;maxSWA;75.69;minAccY;-0.2;maxAccY;0.53;Sens virage;droite;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;moyenne
4018.08;virages_s3-2;endTimecode;4022.92;avgSpeed;29.79;avgPercentBrake;-0.48791;minSWA;-57.82;maxSWA;37.76;minAccY;-0.35;maxAccY;0.31;Sens virage;gauche;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
4022.92;virages_s3-3;endTimecode;4027.76;avgSpeed;29.79;avgPercentBrake;-0.42719;minSWA;-16.13;maxSWA;44.91;minAccY;-0.1;maxAccY;0.4;Sens virage;droite;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
4043.6;virages_s4-1;endTimecode;4053.3;avgSpeed;29.79;avgPercentBrake;12.0875;minSWA;-36.07;maxSWA;79.43;minAccY;-0.15;maxAccY;0.48;Sens virage;droite;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
4053.3;virages_s4-2;endTimecode;4060.04;avgSpeed;29.79;avgPercentBrake;-0.52511;minSWA;-60.1;maxSWA;-8.95;minAccY;-0.33;maxAccY;0;Sens virage;gauche;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
4296.96;virages_vir14;endTimecode;4305.64;avgSpeed;29.79;avgPercentBrake;-0.41732;minSWA;-20.7;maxSWA;77.11;minAccY;-0.08;maxAccY;0.52;Sens virage;droite;Pente virage;montée;Profil virage;droit;Régularité virage;irrégulier;Marquage au sol;continue;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;non;Trafic opposé?;non;Obstacles;non;Visibilité;mauvaise
4804.32;virages_s5-1;endTimecode;4813.92;avgSpeed;29.79;avgPercentBrake;-0.33136;minSWA;-50.72;maxSWA;4.45;minAccY;-0.33;maxAccY;0.05;Sens virage;gauche;Pente virage;plat;Profil virage;obtu;Régularité virage;irrégulier;Marquage au sol;absence;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;bonne
4813.92;virages_s5-2;endTimecode;4822.58;avgSpeed;29.79;avgPercentBrake;-0.37722;minSWA;-10.44;maxSWA;25.45;minAccY;-0.11;maxAccY;0.27;Sens virage;droite;Pente virage;plat;Profil virage;obtu;Régularité virage;régulier;Marquage au sol;absence;Mordu/Coupé;non;Interieur/Exterieur;;Double;non;Suivi;VP;Trafic opposé?;non;Obstacles;non;Visibilité;moyenne
80.44;commandes_FreinFortementEnfonce;endTimecode;87.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89.52;commandes_TourneDroite;endTimecode;93.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93.52;commandes_TourneGauche;endTimecode;98.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99.6;commandes_TourneDroite;endTimecode;100.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100.78;commandes_TourneGauche;endTimecode;103.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104.08;commandes_TourneGauche;endTimecode;104.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104.88;commandes_TourneGauche;endTimecode;105.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105.54;commandes_TourneGauche;endTimecode;109.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113.32;commandes_TourneGauche;endTimecode;113.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114.88;commandes_TourneGauche;endTimecode;115.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117.6;commandes_TourneGauche;endTimecode;135.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135.34;commandes_FreinFortementEnfonce;endTimecode;138.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135.56;commandes_TourneDroite;endTimecode;141.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142.22;commandes_TourneGauche;endTimecode;146.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147.68;commandes_TourneDroite;endTimecode;148.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151.12;commandes_TourneGauche;endTimecode;152.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155.9;commandes_TourneGauche;endTimecode;158.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159.12;commandes_TourneDroite;endTimecode;160.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161.24;commandes_TourneGauche;endTimecode;162.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;commandes_TourneDroite;endTimecode;168.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168.96;commandes_TourneGauche;endTimecode;169.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169.04;commandes_FreinFortementEnfonce;endTimecode;171.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173.08;commandes_TourneDroite;endTimecode;177.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177.96;commandes_TourneGauche;endTimecode;179.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180.74;commandes_TourneDroite;endTimecode;180.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182.6;commandes_TourneGauche;endTimecode;194.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188.3;commandes_FreinFortementEnfonce;endTimecode;191.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195.12;commandes_TourneGauche;endTimecode;198.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198.52;commandes_TourneDroite;endTimecode;200.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201.4;commandes_TourneGauche;endTimecode;201.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205.8;commandes_TourneGauche;endTimecode;207.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208.88;commandes_FreinFortementEnfonce;endTimecode;209.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209.36;commandes_TourneGauche;endTimecode;209.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217.08;commandes_TourneDroite;endTimecode;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221.22;commandes_TourneGauche;endTimecode;221.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223.76;commandes_TourneGauche;endTimecode;223.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224.2;commandes_TourneGauche;endTimecode;224.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;commandes_TourneGauche;endTimecode;232.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234.6;commandes_TourneGauche;endTimecode;240.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238.62;commandes_FreinFortementEnfonce;endTimecode;240.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243.02;commandes_TourneGauche;endTimecode;243.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246.16;commandes_TourneGauche;endTimecode;247.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259.2;commandes_TourneGauche;endTimecode;260.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265.2;commandes_TourneGauche;endTimecode;266.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267.68;commandes_TourneGauche;endTimecode;272.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274.58;commandes_TourneGauche;endTimecode;276.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
